query_scope,query_terms,sec_code_raw,sec_code,sec_name,org_id,announcement_id,announcement_title,announcement_date,announcement_time_ms,adjunct_url,pdf_url,adjunct_size,adjunct_type,page_column,column_id
sse_a,人工智能,688619,688619,罗普特,9900041860,1221158284,罗普特科技集团股份有限公司关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-06,1725638400000,finalpage/2024-09-07/1221158284.PDF,https://static.cninfo.com.cn/finalpage/2024-09-07/1221158284.PDF,126,PDF,SHKCB,251302||253201
szse_a,人工智能,300418,300418,昆仑万维,9900023869,1221396474,关于与FESCO全资子公司合作设立人工智能招聘合资公司的公告,2024-10-15,1728989107000,finalpage/2024-10-15/1221396474.PDF,https://static.cninfo.com.cn/finalpage/2024-10-15/1221396474.PDF,128,PDF,SZCY,09020202||160203||250301||251302
szse_a,人工智能,002463,002463,沪电股份,9900013929,1221507325,关于投资新建人工智能芯片配套高端印制电路板扩产项目的公告,2024-10-24,1729785600000,finalpage/2024-10-25/1221507325.PDF,https://static.cninfo.com.cn/finalpage/2024-10-25/1221507325.PDF,351,PDF,SZZB,09020202||250101||251302
szse_a,智谱,300010,300010,豆神教育,9900008267,1221507783,关于与北京智谱华章科技有限公司、海南何尊网络科技有限公司签署战略合作框架协议并成立合资公司的公告,2024-10-24,1729785600000,finalpage/2024-10-25/1221507783.PDF,https://static.cninfo.com.cn/finalpage/2024-10-25/1221507783.PDF,114,PDF,SZCY,09020202||160203||250301||251302
szse_a,人工智能,300857,300857,协创数据,9900039793,1221508696,关于与合肥综合性国家科学中心人工智能研究院签署战略框架协议的自愿性披露公告,2024-10-24,1729769488000,finalpage/2024-10-24/1221508696.PDF,https://static.cninfo.com.cn/finalpage/2024-10-24/1221508696.PDF,274,PDF,SZCY,09020202||160203||250301||251302
bse_a,人工智能,835207,835207,众诚科技,gfbj0835207,1221589046,关于与郑州大学共建人工智能产业研究院签约暨揭牌的公告,2024-10-30,1730304000000,finalpage/2024-10-31/1221589046.PDF,https://static.cninfo.com.cn/finalpage/2024-10-31/1221589046.PDF,88,PDF,BJS,251302||253301
sse_a,人工智能,688168,688168,安博通,gfbj0839570,1221981831,关于签署人工智能智算中心建设项目合同的自愿性披露公告,2024-12-10,1733846400000,finalpage/2024-12-11/1221981831.PDF,https://static.cninfo.com.cn/finalpage/2024-12-11/1221981831.PDF,523,PDF,SHKCB,251302||253201
szse_a,人工智能,002336,002336,*ST人乐,9900010033,1222019590,西安配销-中审亚太审字(2024)008341号,2024-12-13,1734105600000,finalpage/2024-12-14/1222019590.PDF,https://static.cninfo.com.cn/finalpage/2024-12-14/1222019590.PDF,24241,PDF,SZZB,09020202||250101||251302
bse_a,大模型;模型备案,837592,837592,华信永道,gfbj0837592,1222129180,关于大模型算法备案成功的公告,2024-12-23,1734969600000,finalpage/2024-12-24/1222129180.PDF,https://static.cninfo.com.cn/finalpage/2024-12-24/1222129180.PDF,99,PDF,BJS,251302||253301
szse_a,人工智能,002230,002230,科大讯飞,9900004565,1222224624,关于安徽科讯人工智能创业投资基金完成备案的公告,2025-01-03,1735920000000,finalpage/2025-01-04/1222224624.PDF,https://static.cninfo.com.cn/finalpage/2025-01-04/1222224624.PDF,164,PDF,SZZB,09020202||250101||251302
sse_a,人工智能,600821,600821,金开新能,gssh0600821,1222460681,全资子公司签署人工智能算力技术服务合同的公告,2025-02-05,1738771200000,finalpage/2025-02-06/1222460681.PDF,https://static.cninfo.com.cn/finalpage/2025-02-06/1222460681.PDF,158,PDF,SHZB,250401||251302
sse_a,人工智能,688191,688191,智洋创新,gfbj0831681,1223021876,关于投资建设“人工智能边缘感知设备产业化项目”的公告,2025-04-07,1744041600000,finalpage/2025-04-08/1223021876.PDF,https://static.cninfo.com.cn/finalpage/2025-04-08/1223021876.PDF,200,PDF,SHKCB,251302||253201
sse_a,人工智能,688568,688568,中科星图,9900038994,1223095906,中科星图股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-14,1744646400000,finalpage/2025-04-15/1223095906.PDF,https://static.cninfo.com.cn/finalpage/2025-04-15/1223095906.PDF,330,PDF,SHKCB,251302||253201
sse_a,人工智能,688208,688208,道通科技,9900031482,1223149111,道通科技关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-18,1744992000000,finalpage/2025-04-19/1223149111.PDF,https://static.cninfo.com.cn/finalpage/2025-04-19/1223149111.PDF,261,PDF,SHKCB,251302||253201
sse_a,人工智能,688003,688003,天准科技,gfbj0833231,1223184983,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223184983.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223184983.PDF,66,PDF,SHKCB,251302||253201
sse_a,人工智能,688039,688039,当虹科技,9900038989,1223195950,杭州当虹科技股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223195950.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223195950.PDF,94,PDF,SHKCB,251302||253201
sse_a,人工智能,688078,688078,龙软科技,9900024805,1223184639,北京龙软科技股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223184639.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223184639.PDF,130,PDF,SHKCB,251302||253201
sse_a,人工智能,688081,688081,兴图新科,9900039664,1223184157,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223184157.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223184157.PDF,90,PDF,SHKCB,251302||253201
sse_a,人工智能,688109,688109,品茗科技,gfbj0836188,1223186681,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223186681.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223186681.PDF,125,PDF,SHKCB,251302||253201
sse_a,人工智能,688111,688111,金山办公,9900035303,1223186156,金山办公关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223186156.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223186156.PDF,127,PDF,SHKCB,251302||253201
sse_a,人工智能,688207,688207,格灵深瞳,9900047656,1223183427,格灵深瞳关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223183427.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223183427.PDF,177,PDF,SHKCB,251302||253201
sse_a,人工智能,688258,688258,卓易信息,9900039137,1223189380,江苏卓易信息科技股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223189380.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223189380.PDF,71,PDF,SHKCB,251302||253201
sse_a,人工智能,688318,688318,财富趋势,9900022732,1223189382,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223189382.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223189382.PDF,68,PDF,SHKCB,251302||253201
sse_a,人工智能,688365,688365,光云科技,9900039491,1223185402,光云科技：关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223185402.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223185402.PDF,257,PDF,SHKCB,251302||253201
sse_a,人工智能,688369,688369,致远互联,9900039219,1223186160,北京致远互联软件股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223186160.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223186160.PDF,338,PDF,SHKCB,251302||253201
sse_a,人工智能,688507,688507,索辰科技,nssc1000827,1223186722,关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223186722.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223186722.PDF,121,PDF,SHKCB,251302||253201
sse_a,人工智能,688579,688579,山大地纬,gfbj0831688,1223185019,山大地纬关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223185019.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223185019.PDF,149,PDF,SHKCB,251302||253201
sse_a,人工智能,688591,688591,泰凌微,9900048793,1223183976,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223183976.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223183976.PDF,106,PDF,SHKCB,251302||253201
sse_a,人工智能,688615,688615,合合信息,9900046400,1223183803,合合信息关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223183803.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223183803.PDF,327,PDF,SHKCB,251302||253201
sse_a,人工智能,688648,688648,中邮科技,9900053181,1223183430,关于参加2024年度科创板人工智能行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223183430.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223183430.PDF,115,PDF,SHKCB,251302||253201
sse_a,人工智能,688686,688686,奥普特,9900041449,1223183582,关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-21,1745251200000,finalpage/2025-04-22/1223183582.PDF,https://static.cninfo.com.cn/finalpage/2025-04-22/1223183582.PDF,127,PDF,SHKCB,251302||253201
sse_a,人工智能,603893,603893,瑞芯微,9900033186,1223218241,关于参加2024年度沪市主板人工智能专题集体业绩说明会的公告,2025-04-22,1745337600000,finalpage/2025-04-23/1223218241.PDF,https://static.cninfo.com.cn/finalpage/2025-04-23/1223218241.PDF,128,PDF,SHZB,250401||251302
sse_a,人工智能,688058,688058,宝兰德,9900032882,1223209809,北京宝兰德软件股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-22,1745337600000,finalpage/2025-04-23/1223209809.PDF,https://static.cninfo.com.cn/finalpage/2025-04-23/1223209809.PDF,290,PDF,SHKCB,251302||253201
sse_a,人工智能,600602,600602,云赛智联,gssh0600602,1223233159,云赛智联关于参加2024年度沪市主板人工智能专题集体业绩说明会的公告,2025-04-23,1745424000000,finalpage/2025-04-24/1223233159.PDF,https://static.cninfo.com.cn/finalpage/2025-04-24/1223233159.PDF,93,PDF,SHZB,250401||251302
sse_a,人工智能,601360,601360,三六零,9900021962,1223235558,三六零安全科技股份有限公司关于参加2024年度沪市主板人工智能专题集体业绩说明会的公告,2025-04-23,1745424000000,finalpage/2025-04-24/1223235558.PDF,https://static.cninfo.com.cn/finalpage/2025-04-24/1223235558.PDF,117,PDF,SHZB,250401||251302
sse_a,人工智能,603859,603859,能科科技,9900028822,1223235643,关于参加2024年度沪市主板人工智能专题集体业绩说明会的公告,2025-04-23,1745424000000,finalpage/2025-04-24/1223235643.PDF,https://static.cninfo.com.cn/finalpage/2025-04-24/1223235643.PDF,69,PDF,SHZB,250401||251302
sse_a,人工智能,603881,603881,数据港,9900029913,1223234690,上海数据港股份有限公司关于参加2024年度沪市主板人工智能专题集体业绩说明会的公告,2025-04-23,1745424000000,finalpage/2025-04-24/1223234690.PDF,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234690.PDF,106,PDF,SHZB,250401||251302
sse_a,人工智能,688619,688619,罗普特,9900041860,1223239966,罗普特科技集团股份有限公司关于参加2024年度科创板人工智能及软件行业集体业绩说明会暨2025年第一季度业绩说明会的公告,2025-04-23,1745424000000,finalpage/2025-04-24/1223239966.PDF,https://static.cninfo.com.cn/finalpage/2025-04-24/1223239966.PDF,102,PDF,SHKCB,251302||253201
sse_a,人工智能,688066,688066,航天宏图,fzqy1026111,1223314922,关于召开2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-25,1745596800000,finalpage/2025-04-26/1223314922.PDF,https://static.cninfo.com.cn/finalpage/2025-04-26/1223314922.PDF,105,PDF,SHKCB,251302||253201
sse_a,人工智能,688229,688229,博睿数据,9900034679,1223312796,关于参加2024年度科创板人工智能及软件行业集体业绩说明会的公告,2025-04-25,1745596800000,finalpage/2025-04-26/1223312796.PDF,https://static.cninfo.com.cn/finalpage/2025-04-26/1223312796.PDF,69,PDF,SHKCB,251302||253201
sse_a,人工智能,600602,600602,云赛智联,gssh0600602,1223444164,云赛智联关于参加2024年度沪市主板人工智能专题集体业绩说明会情况的公告,2025-04-30,1746028800000,finalpage/2025-05-01/1223444164.PDF,https://static.cninfo.com.cn/finalpage/2025-05-01/1223444164.PDF,179,PDF,SHZB,250401||251302
sse_a,人工智能,601360,601360,三六零,9900021962,1223450925,三六零安全科技股份有限公司关于参加2024年度沪市主板人工智能专题集体业绩说明会情况的公告,2025-04-30,1746028800000,finalpage/2025-05-01/1223450925.PDF,https://static.cninfo.com.cn/finalpage/2025-05-01/1223450925.PDF,159,PDF,SHZB,250401||251302
sse_a,人工智能,603859,603859,能科科技,9900028822,1223454892,关于参加2024年度沪市主板人工智能专题集体业绩说明会情况的公告,2025-04-30,1746028800000,finalpage/2025-05-01/1223454892.PDF,https://static.cninfo.com.cn/finalpage/2025-05-01/1223454892.PDF,137,PDF,SHZB,250401||251302
